time_s,left_rad_s,right_rad_s,left_ctrl,right_ctrl,left_error,right_error
1.48,4.456564140799104,5.942085521065471,4.612207299425364,6.1496097325671535,1.552868777905518,2.0704917038740245
1.5,4.465938150768738,5.954584201024984,4.620609315267707,6.160812420356942,1.5434358592008959,2.0579144789345287
1.52,4.4752538317076365,5.967005108943515,4.628962567199456,6.1719500895992745,1.5340618492312617,2.045415798975016
1.54,4.4845117304809765,5.979348973974635,4.637267060241092,6.183022746988122,1.5247461682923635,2.032994891056485
1.56,4.4937123651810165,5.991616486908022,4.645522837731682,6.194030450308909,1.5154882695190235,2.020651026025365
1.58,4.5028562286586205,6.003808304878161,4.6537299760390916,6.204973301385455,1.5062876348189835,2.008383513091978
1.6,4.511943791590655,6.015925055454207,4.661888579969226,6.215851439958966,1.4971437713413795,1.9961916951218388
1.62,4.5209755051444525,6.027967340192603,4.669998778782109,6.226665038376143,1.4880562084093452,1.9840749445457933
1.6400000000000001,4.52995180329247,6.039935737723294,4.67806072273477,6.237414296979692,1.4790244948555475,1.9720326598073967
1.6600000000000001,4.538873104823269,6.051830806431026,4.68607458008145,6.248099440108598,1.4700481967075296,1.9600642622767062
1.68,4.547739815088843,6.0636530867851235,4.6940405344708065,6.258720712627739,1.461126895176731,1.9481691935689742
1.7,4.556552327523066,6.0754031033640885,4.701958782687759,6.269278376917011,1.4522601849111574,1.9363469132148765
1.72,4.565311024961435,6.087081366615247,4.709829532694522,6.279772710259364,1.4434476724769336,1.9245968966359115
1.74,4.574016280788287,6.098688374384383,4.717653001931346,6.290204002575128,1.434688975038565,1.912918633384753
1.76,4.582668459934254,6.1102246132456735,4.725429415842718,6.300572554456956,1.4259837192117129,1.9013116256156168
1.78,4.591267919743684,6.121690559658247,4.733159006599284,6.310878675465711,1.4173315400657458,1.8897753867543265
1.8,4.599815010729169,6.133086680972227,4.74084201198967,6.3211226826528915,1.408732080256316,1.878309440341753
1.82,4.608310077228062,6.144413436304083,4.748478674459783,6.331304899279709,1.400184989270831,1.8669133190277734
1.84,4.6167534579738945,6.155671277298527,4.756069240280141,6.341425653706853,1.3916899227719384,1.8555865636959172
1.86,4.62514548659392,6.166860648791894,4.76361395882434,6.351485278432451,1.3832465420261055,1.8443287227014729
1.8800000000000001,4.633486492042495,6.177981989389994,4.77111308194399,6.361484109258651,1.3748545134060803,1.8331393512081062
1.9000000000000001,4.641776798978775,6.1890357319717,4.77856686342739,6.371422484569852,1.3665135079575048,1.8220180106100061
1.92,4.6500167280960385,6.200022304128051,4.785975558530895,6.381300744707859,1.3582232010212252,1.8109642680283002
1.94,4.65820659640903,6.210942128545373,4.793339423573381,6.391119231431174,1.3499832719039615,1.7999776958719487
1.96,4.666346717504826,6.221795623339768,4.800658715585467,6.40087828744729,1.3417934035909704,1.7890578714546272
1.98,4.674437401762052,6.232583202349403,4.8079336920062845,6.410578256008379,1.333653282495174,1.7782043766602316
2.0,4.682478956542592,6.243305275390123,4.815164610421499,6.4202194805619985,1.3255625982379478,1.767416797650597
2.02,4.690471686359424,6.253962248479231,4.822351728337146,6.42980230444953,1.3175210434574076,1.7566947246098774
2.04,4.698415893023717,6.264554524031622,4.82949530298455,6.439327070646069,1.309528313640576,1.7460377515207686
2.06,4.706311875773917,6.275082501031888,4.836595591152208,6.448794121536279,1.301584106976283,1.735445475968378
2.08,4.714159931389184,6.285546575185578,4.843652849041093,6.45820379872146,1.2936881242260831,1.7249174989681118
2.1,4.721960354289246,6.295947139052328,4.850667332140271,6.467556442853695,1.285840068610816,1.7144534248144216
2.12,4.72971343662244,6.3062845821632525,4.857639295120134,6.476852393493513,1.278039645710754,1.7040528609476722
2.14,4.737419468343497,6.316559291124663,4.864568991740949,6.486091988987933,1.2702865633775602,1.6937154178367475
2.16,4.745078737282421,6.326771649709895,4.8714566747746595,6.495275566366213,1.2625805316565026,1.6834407088753371
2.18,4.7526915292056096,6.336922038940812,4.878302595938212,6.50440346125095,1.2549212627175788,1.6732283502901053
2.2,4.760258127870253,6.347010837160337,4.88510700583687,6.5134760077824945,1.2473084707943904,1.6630779610591881
2.22,4.767778815072878,6.35703842009717,4.8918701539161855,6.522493538554915,1.2397418721297466,1.6529891628396634
2.24,4.775253870692799,6.367005160923731,4.89859228842149,6.531456384561988,1.2322211849271216,1.6429615799028303
2.2600000000000002,4.782683572731147,6.376911430308196,4.905273656363902,6.5403648751518695,1.224746129307201,1.632994839076269
2.2800000000000002,4.790068197346052,6.386757596461402,4.911914503491978,6.549219337989305,1.2173164272688526,1.623088569691804
2.3000000000000003,4.7974080188844646,6.396544025179286,4.918515074268266,6.558020099024357,1.2099318026539478,1.6132424035385977
2.32,4.804703309911073,6.40627107988143,4.925075611850106,6.566767482466809,1.2025919811155354,1.6034559748207142
2.34,4.811954341234674,6.415939121646232,4.9315963580741,6.575461810765468,1.1952966900889272,1.5937289201185703
2.36,4.819161381932337,6.425548509243115,4.938077553443772,6.584103404591699,1.1880456587653256,1.5840608783537684
2.38,4.826324699371631,6.435099599162175,4.944519437119991,6.592692582826658,1.1808386180676633,1.5744514907568847
2.4,4.833444559231182,6.444592745641577,4.950922246913777,6.601229662551702,1.1736753006283687,1.564900400837825
2.42,4.840521225519753,6.454028300693005,4.957286219281168,6.6097149590415585,1.1665554407688177,1.555407254358423
2.44,4.847554960594047,6.463406614125397,4.963611589319893,6.618148785759859,1.159478774480247,1.5459716993069952
2.46,4.854546025175391,6.472728033567188,4.969898590767564,6.626531454356754,1.1524450394059533,1.5365933858746033
2.48,4.861494678365439,6.481992904487252,4.976147456001228,6.634863274668305,1.1454539748246093,1.5272719664328118
2.5,4.868401177661016,6.491201570214689,4.9823584160380445,6.643144554717394,1.138505321634561,1.5180070955127478
2.52,4.875265778968214,6.50035437195762,4.988531700536982,6.651375600715976,1.131598822338984,1.508798429785311
2.54,4.882088736615822,6.509451648821097,4.99466753780135,6.659556717068467,1.1247342210317859,1.49964562804238
2.56,4.888870303368179,6.51849373782424,5.000766154782077,6.667688206376104,1.117911263384178,1.4905483511789033
2.58,4.895610730437519,6.527480973916693,5.0068277770816225,6.675770369442164,1.1111296966318207,1.4815062621757598
2.6,4.9023102674958565,6.536413689994476,5.012852628958422,6.683803505277897,1.104389269562481,1.4725190260833072
2.62,4.908969162686482,6.5452922169153105,5.018840933331807,6.691787911109078,1.0976897325041435,1.4635863100055237
2.64,4.915587662635101,6.55411688351347,5.024792911787321,6.699723882383095,1.091030837313518,1.4547077830846895
2.66,4.922166012460659,6.562888016614213,5.030708784582362,6.707611712776483,1.084412337364899,1.44588311648653
2.68,4.928704455785886,6.571605941047849,5.036588770652132,6.715451694202844,1.077833987539341,1.4371119833857868
2.7,4.935203234747596,6.580270979663463,5.042433087615812,6.723244116821084,1.0712955442141139,1.4283940589521507
2.72,4.941662590006759,6.588883453342347,5.048241951782952,6.730989269043937,1.064796765252404,1.4197290203365371
2.74,4.948082760758374,6.597443681011168,5.054015578160028,6.738687437546706,1.058337409993241,1.4111165466576532
2.7600000000000002,4.954463984741161,6.605951979654884,5.05975418045715,6.746338907276201,1.051917239241626,1.4025563189888324
2.7800000000000002,4.960806498247088,6.614408664329452,5.065457971094872,6.75394396145983,1.0455360152588389,1.3940480203451164
2.8000000000000003,4.967110536130747,6.62281404817433,5.071127161211116,6.761502881614821,1.0391935017529121,1.385591335670548
2.82,4.973376331818599,6.6311684424248,5.076761960668162,6.769015947557551,1.0328894638692532,1.3771859518256697
2.84,4.979604117318091,6.639472156424122,5.082362578059708,6.776483437412947,1.0266236681814007,1.3688315575752004
2.86,4.985794123226656,6.647725497635541,5.087929220717966,6.783905627623958,1.0203958826819086,1.3605278435758779
2.88,4.991946578740607,6.655928771654143,5.0934620947208025,6.7912827929610735,1.0142058767733442,1.352274502364459
2.9,4.998061711663938,6.664082282218584,5.098961404898903,6.798615206531873,1.008053421259393,1.3440712283458573
2.92,5.004139748417025,6.672186331222699,5.104427354842944,6.805903139790595,1.0019382883360617,1.3359177177814159
2.94,5.01018091404524,6.6802412187269855,5.109860146910785,6.8131468625477165,0.9958602515829753,1.327813668777301
2.96,5.016185432227491,6.688247242969989,5.11525998223465,6.820346642979538,0.9898190859547604,1.3197587812730145
2.98,5.022153525284681,6.6962047003795755,5.120627060728314,6.8275027476377534,0.9838145677725088,1.3117527570300114
3.0,5.0280854141880855,6.704113885584115,5.125961581094262,6.834615441459018,0.977846474715319,1.3037952996204245
3.02,5.0339813185676725,6.7119750914235645,5.131263740830862,6.841684987774485,0.9719145858119145,1.295886114415885
3.04,5.039841456720348,6.7197886089604655,5.1365337362394925,6.848711648319326,0.9660186814323275,1.2880249085764355
3.06,5.0456660456181375,6.727554727490851,5.141771762431663,6.855695683242218,0.9601585432796522,1.2802113910395345
3.08,5.051455300916307,6.7352737345550775,5.146978013336103,6.862637351114807,0.9543339543818625,1.2724452725091489
3.1,5.057209436961423,6.742945915948566,5.152152681705838,6.869536908941119,0.9485446990836932,1.2647262654449225
3.12,5.062928666799354,6.750571555732473,5.157295959125216,6.876394612166956,0.9427905630385771,1.2570540840514344
3.14,5.068613202183215,6.758150936244288,5.162408036016921,6.8832107146892305,0.9370713332006462,1.2494284442675267
3.16,5.0742632535812575,6.765684338108344,5.16748910164895,6.8899854688652695,0.9313867978167849,1.241849063755712
3.18,5.079879030184703,6.773172040246272,5.172539344141553,6.896719125522074,0.9257367464187425,1.2343156618916558
3.2,5.085460739915528,6.7806143198873725,5.177558950474144,6.903411933965527,0.9201209698152972,1.2268279597537282
3.22,5.091008589434193,6.788011452578926,5.182548106492171,6.910064141989563,0.9145392600844717,1.2193856801126275
3.24,5.096522784147323,6.7953637121964325,5.187506996913961,6.916675995885283,0.9089914105658066,1.2119885474210736
3.2600000000000002,5.102003528215334,6.802671370953781,5.192435805337517,6.923247740450024,0.9034772158526767,1.2046362878035675
3.2800000000000002,5.107451024560017,6.809934699413358,5.197334714247287,6.929779618996384,0.8979964717846656,1.1973286290462193
3.3000000000000003,5.112865474872067,6.8171539664960905,5.20220390502089,6.936271873361189,0.8925489754399827,1.1900653005866424
3.3200000000000003,5.118247079618567,6.824329439491423,5.207043557935812,6.942724743914418,0.8871345251279328,1.1828460335039095
3.34,5.123596038050423,6.831461384067232,5.211853852176051,6.949138469568072,0.8817529203814329,1.1756705605085767
3.36,5.128912548209756,6.838550064279676,5.216634965838747,6.955513287784998,0.8764039619495767,1.1685386159327678
3.38,5.134196806937242,6.84559574258299,5.2213870759407435,6.961849434587661,0.8710874517902436,1.1614499357203236
3.4,5.1394490098794074,6.852598679839211,5.226110358425142,6.96814714456686,0.8658031930627583,1.15440425741701
3.42,5.144669351495887,6.85955913532785,5.230804988167799,6.974406650890401,0.8605509901205926,1.1474013201607889
3.44,5.149858025066624,6.8664773667554995,5.235471138983785,6.980628185311717,0.855330648504113,1.1404408646721498
3.46,5.155015222699036,6.873353630265381,5.24010898363382,6.986811978178432,0.8501419749333756,1.1335226332445005
3.48,5.160141135335128,6.880188180446838,5.244718693830658,6.992958258440882,0.8449847773009642,1.126646369734619
3.5,5.165235952758574,6.886981270344767,5.249300440245436,6.999067253660586,0.8398588646648717,1.1198118195531617
3.52,5.170299863601741,6.8937331514689895,5.253854392513992,7.005139190018659,0.8347640472414257,1.1130187296552334
